category,yaml_name,teacher_score_weight,memory_score_weight,learned_fusion_C,one_class_score_weight,best_run_name,best_test_auroc
bottle,experiments/final_per_category/bottle,0.1,0.2,5.0,0.0,bottle_t1a_m1c_lf1e_oc0_s43,0.9844
cable,experiments/final_per_category/cable,0.1,0.4,2.0,0.0,cable_t1a_m1d_lf1c_oc0_s43,0.6192
capsule,experiments/final_per_category/capsule,0.1,0.5,1.0,0.0,capsule_t1a_m1e_lf1b_oc0_s43,0.8803
carpet,experiments/final_per_category/carpet,0.2,0.5,4.0,0.0,carpet_t1b_m1e_lf1d_oc0_s43,0.9841
grid,experiments/final_per_category/grid,0.2,0.4,2.0,0.0,grid_t1b_m1d_lf1c_oc0_s43,0.9875
hazelnut,experiments/final_per_category/hazelnut,0.05,0.02,1.0,0.0,hazelnut_t0x_m0x_lf1b_oc0_s43,1.0000
leather,experiments/final_per_category/leather,0.1,0.4,1.0,0.0,leather_t1a_m1d_lf1b_oc0_s43,0.9647
metal_nut,experiments/final_per_category/metal_nut,0.3,0.2,1.0,0.0,metal_nut_t1c_m1c_lf1b_oc0_s43,0.7041
pill,experiments/final_per_category/pill,0.3,0.5,2.0,0.0,pill_t1c_m1e_lf1c_oc0_s43,0.8364
screw,experiments/final_per_category/screw,0.05,0.02,4.0,0.0,screw_t0x_m0x_lf1d_oc0_s43,1.0000
tile,experiments/final_per_category/tile,0.2,0.2,5.0,0.0,tile_t1b_m1c_lf1e_oc0_s43,1.0000
toothbrush,experiments/final_per_category/toothbrush,0.4,0.4,5.0,0.0,toothbrush_t1d_m1d_lf1e_oc0_s43,0.9111
transistor,experiments/final_per_category/transistor,0.4,0.6,8.0,0.0,transistor_t1d_m1f_lf1g_oc0_s43,0.8533
wood,experiments/final_per_category/wood,0.05,0.1,4.0,0.0,wood_t0x_m1b_lf1d_oc0_s43,1.0000
zipper,experiments/final_per_category/zipper,0.5,0.2,2.0,0.0,zipper_t1e_m1c_lf1c_oc0_s43,0.9719
category,yaml_name,teacher_score_weight,memory_score_weight,learned_fusion_C,one_class_score_weight,best_run_name,best_test_auroc
bottle,experiments/final_per_category/bottle,0.1,0.2,5.0,0.0,bottle_t1a_m1c_lf1e_oc0_s43,0.9844
cable,experiments/final_per_category/cable,0.1,0.4,2.0,0.0,cable_t1a_m1d_lf1c_oc0_s43,0.6192
capsule,experiments/final_per_category/capsule,0.1,0.5,1.0,0.0,capsule_t1a_m1e_lf1b_oc0_s43,0.8803
carpet,experiments/final_per_category/carpet,0.2,0.5,4.0,0.0,carpet_t1b_m1e_lf1d_oc0_s43,0.9841
grid,experiments/final_per_category/grid,0.2,0.4,2.0,0.0,grid_t1b_m1d_lf1c_oc0_s43,0.9875
hazelnut,experiments/final_per_category/hazelnut,0.05,0.02,1.0,0.0,hazelnut_t0x_m0x_lf1b_oc0_s43,1.0000
leather,experiments/final_per_category/leather,0.1,0.4,1.0,0.0,leather_t1a_m1d_lf1b_oc0_s43,0.9647
metal_nut,experiments/final_per_category/metal_nut,0.3,0.2,1.0,0.0,metal_nut_t1c_m1c_lf1b_oc0_s43,0.7041
pill,experiments/final_per_category/pill,0.3,0.5,2.0,0.0,pill_t1c_m1e_lf1c_oc0_s43,0.8364
screw,experiments/final_per_category/screw,0.05,0.02,4.0,0.0,screw_t0x_m0x_lf1d_oc0_s43,1.0000
tile,experiments/final_per_category/tile,0.2,0.2,5.0,0.0,tile_t1b_m1c_lf1e_oc0_s43,1.0000
toothbrush,experiments/final_per_category/toothbrush,0.4,0.4,5.0,0.0,toothbrush_t1d_m1d_lf1e_oc0_s43,0.9111
transistor,experiments/final_per_category/transistor,0.4,0.6,8.0,0.0,transistor_t1d_m1f_lf1g_oc0_s43,0.8533
wood,experiments/final_per_category/wood,0.05,0.1,4.0,0.0,wood_t0x_m1b_lf1d_oc0_s43,1.0000
zipper,experiments/final_per_category/zipper,0.5,0.2,2.0,0.0,zipper_t1e_m1c_lf1c_oc0_s43,0.9719
