category,num_seeds,mean_test_auroc,std_test_auroc,mean_test_auprc,std_test_auprc,mean_test_best_f1,std_test_best_f1,mean_test_f1_at_val_threshold,std_test_f1_at_val_threshold,mean_test_fpr_at_95_tpr,std_test_fpr_at_95_tpr,best_run_name,best_seed,best_test_auroc
bottle,3,0.8958333333333334,0.02260680668146945,0.9695476370346604,0.00789834200955695,0.9119299838574523,0.004942789867221169,0.885447157578305,0.006762153308477906,0.6333333333333333,0.05773502691896256,bottle_optv2_s44,44,0.921875
cable,3,0.5797101449275363,0.02740321834912859,0.7396862619701101,0.03150350703033365,0.7603305785119253,0.0,0.6934817450281368,0.03015406682452665,0.9885057471264368,0.019908629972056037,cable_optv2_s45,45,0.6079460269865068
capsule,3,0.6267676767676768,0.15885504401073414,0.8693759334221947,0.04817910982815179,0.9165690866505571,0.025859072361242238,0.8965811965811965,0.02294597223702357,0.7777777777777778,0.3849001794597505,capsule_optv2_s43,43,0.8090909090909091
carpet,3,0.9068783068783068,0.031520361922976685,0.9653686842608742,0.014298951737574074,0.9336744857806659,0.02055920583120089,0.9262996271112086,0.0107210786662425,0.3571428571428571,0.12371791482634838,carpet_optv2_s45,45,0.9412698412698413
grid,3,0.9686520376175548,0.02488167377176727,0.9863364957793282,0.013095191770083767,0.9610011933918754,0.008836165798433855,0.9340007415647015,0.0025688554802652825,0.18181818181818182,0.0909090909090909,grid_optv2_s43,43,0.9874608150470219
hazelnut,3,0.9914285714285714,0.014846149779161856,0.9935290369657303,0.011208036749255273,0.9953051643187488,0.00813169393224824,0.9756973211819939,0.030714169025765164,0.016666666666666666,0.02886751345948129,hazelnut_optv2_s43,43,1.0
leather,3,0.9678442028985507,0.009046641465325304,0.9892278464180005,0.003124566874696645,0.9505926247562593,0.010277517049284084,0.9280858735246676,0.01056645863966159,0.2708333333333333,0.1301041249666333,leather_optv2_s43,43,0.9755434782608696
metal_nut,3,0.6228239845261122,0.06868580620721351,0.8979275419724293,0.03008107636558469,0.8952380952376007,0.0,0.7670848267622462,0.02493573743274197,1.0,0.0,metal_nut_optv2_s44,44,0.6634429400386846
pill,3,0.7309498013723366,0.059856907968135496,0.9352306494626246,0.017485846707089126,0.9228961710501955,0.007852916190661962,0.9095824011931394,0.009093026396910675,0.717948717948718,0.16012815380508716,pill_optv2_s45,45,0.7692307692307693
screw,3,1.0,0.0,1.0,0.0,0.9999999999995,0.0,0.9971988795518207,0.0048516829343666495,0.0,0.0,screw_optv2_s43,43,1.0
tile,3,0.9407096171802054,0.00953341636632216,0.9814440415282507,0.003697305207157592,0.9511155129395471,0.012792225441207507,0.924367088607595,0.012670089379219958,0.23529411764705882,0.21209125149788172,tile_optv2_s43,43,0.9481792717086834
toothbrush,3,0.6518518518518519,0.055924699520523986,0.8544628157837652,0.02065626469049268,0.8496732026138906,0.028301483783801238,0.7470238095238095,0.09119972289312234,0.8888888888888888,0.1924500897298753,toothbrush_optv2_s43,43,0.711111111111111
transistor,3,0.7877777777777778,0.03564225540521211,0.7308934631415426,0.08071054543704548,0.7169113259334031,0.016625970765121963,0.5647010647010647,0.0761703785181439,0.5555555555555556,0.03849001794597504,transistor_optv2_s43,43,0.8266666666666667
wood,2,1.0,0.0,1.0,0.0,0.9999999999995,0.0,0.9915254237288136,0.011984860698077124,0.0,0.0,wood_optv2_s44,44,1.0
zipper,2,0.8958333333333333,0.004419417382415906,0.9722244101766445,0.00018658841512471513,0.9202001411246541,0.0058967144495614115,0.898989898989899,0.014284985478516124,0.5625,0.1767766952966369,zipper_optv2_s45,45,0.8989583333333333
